#time	V(in1)	V(in2)	I(R3)
1.223493598762043e-03	1.581775e-01	1.580797e-01	9.785268e-08
1.225446723762043e-03	1.866047e-01	1.864895e-01	1.152363e-07
1.227399848762043e-03	2.150290e-01	2.148841e-01	1.448904e-07
1.229352973762043e-03	2.434504e-01	2.432527e-01	1.977769e-07
1.231306098762043e-03	2.718684e-01	2.715724e-01	2.960301e-07
1.233259223762043e-03	3.002815e-01	2.997974e-01	4.841186e-07
1.235212348762043e-03	3.286870e-01	3.278373e-01	8.496803e-07
1.237165473762043e-03	3.570802e-01	3.555202e-01	1.559937e-06
1.239118598762043e-03	3.854547e-01	3.825408e-01	2.913874e-06
1.241071723762043e-03	4.138057e-01	4.084173e-01	5.388401e-06
1.243024848762043e-03	4.421367e-01	4.325188e-01	9.617884e-06
1.244977973762043e-03	4.704642e-01	4.542179e-01	1.624628e-05
1.246931098762043e-03	4.988105e-01	4.731141e-01	2.569639e-05
1.248884223762043e-03	5.271890e-01	4.891663e-01	3.802264e-05
1.250837348762043e-03	5.555979e-01	5.026412e-01	5.295666e-05
1.252790473762043e-03	5.840273e-01	5.139542e-01	7.007312e-05
1.254743598762043e-03	6.124673e-01	5.235294e-01	8.893796e-05
1.256696723762043e-03	6.409109e-01	5.317301e-01	1.091807e-04
1.258649848762043e-03	6.693542e-01	5.388442e-01	1.305100e-04
1.262556098762043e-03	7.262341e-01	5.506407e-01	1.755934e-04
1.268415473762043e-03	8.115335e-01	5.642285e-01	2.473050e-04
1.273995830904900e-03	8.927465e-01	5.734830e-01	3.192635e-04
1.279576188047757e-03	9.739535e-01	5.818092e-01	3.921443e-04
1.285156545190614e-03	1.055155e+00	5.892070e-01	4.659475e-04
1.290736902333472e-03	1.136350e+00	5.956766e-01	5.406730e-04
1.296317259476329e-03	1.217539e+00	6.012178e-01	6.163208e-04
1.301897616619186e-03	1.298722e+00	6.058308e-01	6.928910e-04
1.307477973762043e-03	1.379899e+00	6.095154e-01	7.703836e-04
1.328125295190614e-03	1.680249e+00	6.209688e-01	1.059280e-03
1.348772616619186e-03	1.980595e+00	6.311587e-01	1.349436e-03
1.369419938047757e-03	2.280937e+00	6.400851e-01	1.640852e-03
1.390067259476329e-03	2.581274e+00	6.477481e-01	1.933526e-03
1.410714580904900e-03	2.881608e+00	6.541476e-01	2.227460e-03
1.431361902333472e-03	3.181937e+00	6.592837e-01	2.522654e-03
1.452009223762043e-03	3.482262e+00	6.631563e-01	2.819106e-03
1.500000000000002e-03	4.180317e+00	6.726469e-01	3.507670e-03
1.500004296914698e-03	4.180380e+00	6.726477e-01	3.507732e-03
1.500012890744091e-03	4.180506e+00	6.726493e-01	3.507857e-03
1.500033353586626e-03	4.180781e+00	6.726527e-01	3.508129e-03
1.500053816429162e-03	4.180984e+00	6.726552e-01	3.508329e-03
1.500074279271697e-03	4.181113e+00	6.726568e-01	3.508456e-03
1.500094742114232e-03	4.181169e+00	6.726575e-01	3.508511e-03
1.500115204956767e-03	4.181151e+00	6.726573e-01	3.508494e-03
1.500135667799302e-03	4.181060e+00	6.726562e-01	3.508404e-03
1.500156130641837e-03	4.180896e+00	6.726542e-01	3.508242e-03
1.500216417027242e-03	4.180249e+00	6.726462e-01	3.507603e-03
1.500272715440003e-03	4.179339e+00	6.726350e-01	3.506704e-03
1.500511086194447e-03	4.174648e+00	6.725770e-01	3.502071e-03
1.500576920653154e-03	4.173524e+00	6.725631e-01	3.500961e-03
1.500727708509738e-03	4.171269e+00	6.725352e-01	3.498734e-03
1.500859541718006e-03	4.169455e+00	6.725127e-01	3.496942e-03
1.500991374926274e-03	4.167616e+00	6.724899e-01	3.495125e-03
1.501123208134542e-03	4.165752e+00	6.724668e-01	3.493285e-03
1.501255041342810e-03	4.163863e+00	6.724434e-01	3.491420e-03
1.501386874551079e-03	4.161950e+00	6.724197e-01	3.489531e-03
1.501518707759347e-03	4.160013e+00	6.723956e-01	3.487617e-03
1.501650540967615e-03	4.158050e+00	6.723713e-01	3.485679e-03
1.538113127468607e-03	3.627699e+00	6.652933e-01	2.962406e-03
1.559597502468607e-03	3.315200e+00	6.614095e-01	2.653791e-03
1.581081877468607e-03	3.002706e+00	6.563024e-01	2.346403e-03
1.602566252468607e-03	2.690215e+00	6.499718e-01	2.040243e-03
1.624050627468607e-03	2.377728e+00	6.424178e-01	1.735310e-03
1.645535002468607e-03	2.065245e+00	6.336404e-01	1.431605e-03
1.667019377468607e-03	1.752766e+00	6.236395e-01	1.129127e-03
1.688503752468607e-03	1.440292e+00	6.124153e-01	8.278763e-04
1.694363127468607e-03	1.355073e+00	6.087707e-01	7.463020e-04
1.700222502468607e-03	1.269859e+00	6.042497e-01	6.656096e-04
1.706081877468607e-03	1.184652e+00	5.988523e-01	5.857992e-04
1.711941252468607e-03	1.099449e+00	5.925786e-01	5.068707e-04
1.717800627468607e-03	1.014253e+00	5.854286e-01	4.288242e-04
1.723660002468607e-03	9.290619e-01	5.774022e-01	3.516596e-04
1.729519377468607e-03	8.438765e-01	5.684994e-01	2.753770e-04
1.735378752468607e-03	7.587141e-01	5.562935e-01	2.024206e-04
1.739285002468607e-03	7.019525e-01	5.459554e-01	1.559971e-04
1.741238127468607e-03	6.735759e-01	5.398369e-01	1.337390e-04
1.743191252468607e-03	6.452019e-01	5.328862e-01	1.123157e-04
1.745144377468607e-03	6.168289e-01	5.248933e-01	9.193563e-05
1.747097502468607e-03	5.884539e-01	5.155821e-01	7.287171e-05
1.749050627468607e-03	5.600710e-01	5.045982e-01	5.547277e-05
1.751003752468607e-03	5.316709e-01	4.915138e-01	4.015706e-05
1.752956877468607e-03	5.032427e-01	4.758844e-01	2.735833e-05
1.754910002468607e-03	4.747807e-01	4.573851e-01	1.739569e-05
1.756863127468607e-03	4.462933e-01	4.359963e-01	1.029703e-05
1.758816252468607e-03	4.178024e-01	4.120948e-01	5.707610e-06
1.760769377468607e-03	3.893286e-01	3.863283e-01	3.000219e-06
1.762722502468607e-03	3.608792e-01	3.593646e-01	1.514558e-06
1.764675627468607e-03	3.324506e-01	3.317137e-01	7.368700e-07
1.766628752468607e-03	3.040361e-01	3.036964e-01	3.397406e-07
1.768581877468607e-03	2.756305e-01	2.754917e-01	1.387808e-07
1.770535002468607e-03	2.472304e-01	2.471934e-01	3.708356e-08
1.772488127468607e-03	2.188343e-01	2.188489e-01	-1.456548e-08
1.774441252468607e-03	1.904413e-01	1.904823e-01	-4.092868e-08
1.776394377468607e-03	1.620515e-01	1.621060e-01	-5.451612e-08
1.778347502468607e-03	1.336650e-01	1.337265e-01	-6.155775e-08
1.782253752468607e-03	7.690448e-02	7.697131e-02	-6.682765e-08
1.784485895325750e-03	4.448316e-02	4.455023e-02	-6.706172e-08
1.786718038182893e-03	1.207289e-02	1.213999e-02	-6.709068e-08
1.788950181040035e-03	-2.032633e-02	-2.025942e-02	-6.691452e-08
1.791182323897178e-03	-5.271451e-02	-5.264798e-02	-6.653324e-08
1.793414466754321e-03	-8.509165e-02	-8.502570e-02	-6.594685e-08
1.795646609611464e-03	-1.174577e-01	-1.173926e-01	-6.515535e-08
1.797878752468607e-03	-1.498128e-01	-1.497486e-01	-6.415873e-08
1.799832354305765e-03	-1.781972e-01	-1.781352e-01	-6.203146e-08
1.799835215328714e-03	-1.782267e-01	-1.781720e-01	-5.465047e-08
1.799839030025980e-03	-1.782655e-01	-1.782158e-01	-4.973878e-08
1.799846659420511e-03	-1.783425e-01	-1.782965e-01	-4.603126e-08
1.799860447774699e-03	-1.784841e-01	-1.784385e-01	-4.561282e-08
1.799927879792872e-03	-1.793376e-01	-1.792759e-01	-6.169955e-08
1.799984869056757e-03	-1.802442e-01	-1.801728e-01	-7.134601e-08
1.800059611095291e-03	-1.815507e-01	-1.814721e-01	-7.853847e-08
1.800131913539217e-03	-1.828766e-01	-1.827962e-01	-8.034095e-08
1.800213757000505e-03	-1.843654e-01	-1.842879e-01	-7.749018e-08
1.800290266349480e-03	-1.856757e-01	-1.856038e-01	-7.182146e-08
1.800372533979917e-03	-1.869539e-01	-1.868893e-01	-6.462388e-08
1.800461836230663e-03	-1.882039e-01	-1.881460e-01	-5.791756e-08
1.800534762469841e-03	-1.891430e-01	-1.890883e-01	-5.467280e-08
1.800613780248341e-03	-1.901254e-01	-1.900712e-01	-5.420025e-08
1.800805242122018e-03	-1.926450e-01	-1.925840e-01	-6.094747e-08
1.800925392990712e-03	-1.944114e-01	-1.943457e-01	-6.579325e-08
1.801048282838147e-03	-1.963122e-01	-1.962440e-01	-6.815511e-08
1.801261983585751e-03	-1.996101e-01	-1.995452e-01	-6.492376e-08
1.801551196288385e-03	-2.037462e-01	-2.036855e-01	-6.060995e-08
1.802009602190901e-03	-2.103669e-01	-2.103026e-01	-6.429845e-08
1.802317140696225e-03	-2.148603e-01	-2.147968e-01	-6.348309e-08
1.802624679201548e-03	-2.193496e-01	-2.192868e-01	-6.284182e-08
1.802932217706872e-03	-2.238350e-01	-2.237726e-01	-6.237464e-08
