[s],MA1[]
-9.79480e-04,6.25995E-02
-9.79440e-04,6.25995E-02
-9.79400e-04,6.26280E-02
-9.79360e-04,6.26921E-02
-9.79320e-04,6.27848E-02
-9.79280e-04,6.28489E-02
-9.79240e-04,6.29060E-02
-9.79200e-04,6.30343E-02
-9.79160e-04,6.30984E-02
-9.79120e-04,6.30057E-02
-9.79080e-04,6.30057E-02
-9.79040e-04,6.30628E-02
-9.79000e-04,6.34691E-02
-9.78960e-04,6.30343E-02
-9.78920e-04,6.27848E-02
-9.78880e-04,6.26280E-02
-9.78840e-04,6.30628E-02
-9.78800e-04,6.33764E-02
-9.78760e-04,6.33122E-02
-9.78720e-04,6.32837E-02
-9.78680e-04,6.33764E-02
-9.78640e-04,6.34405E-02
-9.78600e-04,6.33122E-02
-9.78560e-04,6.33764E-02
-9.78520e-04,6.35332E-02
-9.78480e-04,6.35332E-02
-9.78440e-04,6.34691E-02
-9.78400e-04,6.36259E-02
-9.78360e-04,6.37542E-02
-9.78320e-04,6.37542E-02
-9.78280e-04,6.38468E-02
-9.78240e-04,6.38468E-02
-9.78200e-04,6.38468E-02
-9.78160e-04,6.38753E-02
-9.78120e-04,6.39395E-02
-9.78080e-04,6.40963E-02
-9.78040e-04,6.40678E-02
-9.78000e-04,6.40678E-02
-9.77960e-04,6.40678E-02
-9.77920e-04,6.40963E-02
-9.77880e-04,6.40963E-02
-9.77840e-04,6.41605E-02
-9.77800e-04,6.41890E-02
-9.77760e-04,6.42531E-02
-9.77720e-04,6.43173E-02
-9.77680e-04,6.43458E-02
-9.77640e-04,6.43173E-02
-9.77600e-04,6.44384E-02
-9.77560e-04,6.45311E-02
-9.77520e-04,6.46309E-02
-9.77480e-04,6.47521E-02
-9.77440e-04,6.46879E-02
-9.77400e-04,6.47236E-02
-9.77360e-04,6.48162E-02
-9.77320e-04,6.48162E-02
-9.77280e-04,6.48447E-02
-9.77240e-04,6.48804E-02
-9.77200e-04,6.50015E-02
-9.77160e-04,6.60351E-02
-9.77120e-04,6.60992E-02
-9.77080e-04,6.49730E-02
-9.77040e-04,6.48162E-02
-9.77000e-04,6.52510E-02
-9.76960e-04,6.53793E-02
-9.76920e-04,6.52867E-02
-9.76880e-04,6.54078E-02
-9.76840e-04,6.55932E-02
-9.76800e-04,6.55646E-02
-9.76760e-04,6.55361E-02
-9.76720e-04,6.57215E-02
-9.76680e-04,6.58141E-02
-9.76640e-04,6.59068E-02
-9.76600e-04,6.58498E-02
-9.76560e-04,6.58783E-02
-9.76520e-04,6.58783E-02
-9.76480e-04,6.58498E-02
-9.76440e-04,6.59068E-02
-9.76400e-04,6.59068E-02
-9.76360e-04,6.59994E-02
-9.76320e-04,6.60636E-02
-9.76280e-04,6.60992E-02
-9.76240e-04,6.61278E-02
-9.76200e-04,6.60992E-02
-9.76160e-04,6.60992E-02
-9.76120e-04,6.61563E-02
-9.76080e-04,6.62204E-02
-9.76040e-04,6.62846E-02
-9.76000e-04,6.62846E-02
-9.75960e-04,6.64414E-02
-9.75920e-04,6.65340E-02
-9.75880e-04,6.65340E-02
-9.75840e-04,6.65626E-02
-9.75800e-04,6.66909E-02
-9.75760e-04,6.67550E-02
-9.75720e-04,6.67550E-02
-9.75680e-04,6.68120E-02
-9.75640e-04,6.69118E-02
-9.75600e-04,6.69688E-02
-9.75560e-04,6.69688E-02
-9.75520e-04,6.70330E-02
-9.75480e-04,6.71257E-02
-9.75440e-04,6.71898E-02
-9.75400e-04,6.72540E-02
-9.75360e-04,6.73181E-02
-9.75320e-04,6.72825E-02
-9.75280e-04,6.73466E-02
-9.75240e-04,6.74108E-02
-9.75200e-04,6.75034E-02
-9.75160e-04,6.75676E-02
-9.75120e-04,6.75961E-02
-9.75080e-04,6.76246E-02
-9.75040e-04,6.77529E-02
-9.75000e-04,6.78171E-02
-9.74960e-04,6.78812E-02
-9.74920e-04,6.79382E-02
-9.74880e-04,6.80309E-02
-9.74840e-04,6.81592E-02
-9.74800e-04,6.81592E-02
-9.74760e-04,6.80950E-02
-9.74720e-04,6.81592E-02
-9.74680e-04,6.81592E-02
-9.74640e-04,6.82233E-02
-9.74600e-04,6.81877E-02
-9.74560e-04,6.82233E-02
-9.74520e-04,6.82233E-02
-9.74480e-04,6.82875E-02
-9.74440e-04,6.82875E-02
-9.74400e-04,6.83802E-02
-9.74360e-04,6.83160E-02
-9.74320e-04,6.84087E-02
-9.74280e-04,6.84087E-02
-9.74240e-04,6.85940E-02
-9.74200e-04,6.86296E-02
-9.74160e-04,6.87223E-02
-9.74120e-04,6.87223E-02
-9.74080e-04,6.87223E-02
-9.74040e-04,6.87223E-02
-9.74000e-04,6.88150E-02
-9.73960e-04,6.88435E-02
-9.73920e-04,6.89076E-02
-9.73880e-04,6.89433E-02
-9.73840e-04,6.89076E-02
-9.73800e-04,6.89076E-02
-9.73760e-04,6.89076E-02
-9.73720e-04,6.89718E-02
-9.73680e-04,6.90644E-02
-9.73640e-04,6.91001E-02
-9.73600e-04,6.90359E-02
-9.73560e-04,6.91286E-02
-9.73520e-04,6.92854E-02
-9.73480e-04,6.92854E-02
-9.73440e-04,6.93139E-02
-9.73400e-04,6.94707E-02
-9.73360e-04,6.94707E-02
-9.73320e-04,6.94992E-02
-9.73280e-04,6.95349E-02
-9.73240e-04,6.95349E-02
-9.73200e-04,6.95634E-02
-9.73160e-04,6.95634E-02
-9.73120e-04,6.96560E-02
-9.73080e-04,6.97202E-02
-9.73040e-04,6.97558E-02
-9.73000e-04,6.97558E-02
-9.72960e-04,6.93495E-02
-9.72920e-04,6.97202E-02
-9.72880e-04,6.99697E-02
-9.72840e-04,7.01906E-02
-9.72800e-04,6.98770E-02
-9.72760e-04,6.95990E-02
-9.72720e-04,6.97558E-02
-9.72680e-04,6.98485E-02
-9.72640e-04,6.97558E-02
-9.72600e-04,6.98770E-02
-9.72560e-04,7.00980E-02
-9.72520e-04,7.01906E-02
-9.72480e-04,7.00980E-02
-9.72440e-04,7.01265E-02
-9.72400e-04,7.02833E-02
-9.72360e-04,7.02548E-02
-9.72320e-04,7.01621E-02
-9.72280e-04,7.02191E-02
-9.72240e-04,7.02191E-02
-9.72200e-04,7.03118E-02
-9.72160e-04,7.03474E-02
-9.72120e-04,7.04116E-02
-9.72080e-04,7.03760E-02
-9.72040e-04,7.03474E-02
-9.72000e-04,7.04686E-02
-9.71960e-04,7.05043E-02
-9.71920e-04,7.05328E-02
-9.71880e-04,7.06611E-02
-9.71840e-04,7.07822E-02
-9.71800e-04,7.08749E-02
-9.71760e-04,7.08464E-02
-9.71720e-04,7.09747E-02
-9.71680e-04,7.10317E-02
-9.71640e-04,7.10032E-02
-9.71600e-04,7.11600E-02
-9.71560e-04,7.11244E-02
-9.71520e-04,7.11244E-02
-9.71480e-04,7.10674E-02
-9.71440e-04,7.10317E-02
-9.71400e-04,7.11244E-02
-9.71360e-04,7.11600E-02
-9.71320e-04,7.12527E-02
-9.71280e-04,7.13168E-02
-9.71240e-04,7.13168E-02
-9.71200e-04,7.14095E-02
-9.71160e-04,7.14095E-02
-9.71120e-04,7.05328E-02
-9.71080e-04,7.05043E-02
-9.71040e-04,7.16875E-02
-9.71000e-04,7.19726E-02
-9.70960e-04,7.15948E-02
-9.70920e-04,7.15948E-02
-9.70880e-04,7.18158E-02
-9.70840e-04,7.18443E-02
-9.70800e-04,7.17231E-02
-9.70760e-04,7.17873E-02
-9.70720e-04,7.19370E-02
-9.70680e-04,7.17873E-02
-9.70640e-04,7.17873E-02
-9.70600e-04,7.18158E-02
-9.70560e-04,7.18799E-02
-9.70520e-04,7.18443E-02
-9.70480e-04,7.18799E-02
-9.70440e-04,7.19085E-02
-9.70400e-04,7.19726E-02
-9.70360e-04,7.20653E-02
-9.70320e-04,7.20368E-02
-9.70280e-04,7.20653E-02
-9.70240e-04,7.21294E-02
-9.70200e-04,7.21294E-02
-9.70160e-04,7.22862E-02
-9.70120e-04,7.22862E-02
-9.70080e-04,7.23433E-02
-9.70040e-04,7.24430E-02
-9.70000e-04,7.24430E-02
-9.69960e-04,7.25642E-02
-9.69920e-04,7.25357E-02
-9.69880e-04,7.26284E-02
-9.69840e-04,7.26569E-02
-9.69800e-04,7.27852E-02
-9.69760e-04,7.27852E-02
-9.69720e-04,7.26925E-02
-9.69680e-04,7.27495E-02
-9.69640e-04,7.27852E-02
-9.69600e-04,7.26569E-02
-9.69560e-04,7.27495E-02
-9.69520e-04,7.26569E-02
-9.69480e-04,7.28493E-02
-9.69440e-04,7.27852E-02
-9.69400e-04,7.28493E-02
-9.69360e-04,7.28493E-02
-9.69320e-04,7.29420E-02
-9.69280e-04,7.30061E-02
-9.69240e-04,7.30347E-02
-9.69200e-04,7.31273E-02
-9.69160e-04,7.31915E-02
-9.69120e-04,7.32200E-02
-9.69080e-04,7.31558E-02
-9.69040e-04,7.32556E-02
-9.69000e-04,7.32841E-02
-9.68960e-04,7.32556E-02
-9.68920e-04,7.32200E-02
-9.68880e-04,7.32200E-02
-9.68840e-04,7.32200E-02
-9.68800e-04,7.31915E-02
-9.68760e-04,7.32200E-02
-9.68720e-04,7.31915E-02
-9.68680e-04,7.32556E-02
-9.68640e-04,7.32841E-02
-9.68600e-04,7.33483E-02
-9.68560e-04,7.33768E-02
-9.68520e-04,7.34695E-02
-9.68480e-04,7.35621E-02
-9.68440e-04,7.35978E-02
-9.68400e-04,7.36619E-02
-9.68360e-04,7.36619E-02
-9.68320e-04,7.37546E-02
-9.68280e-04,7.37189E-02
-9.68240e-04,7.37831E-02
-9.68200e-04,7.37546E-02
-9.68160e-04,7.37831E-02
-9.68120e-04,7.38187E-02
-9.68080e-04,7.38472E-02
-9.68040e-04,7.39399E-02
-9.68000e-04,7.40040E-02
-9.67960e-04,7.39684E-02
-9.67920e-04,7.39684E-02
-9.67880e-04,7.40326E-02
-9.67840e-04,7.40326E-02
-9.67800e-04,7.41252E-02
-9.67760e-04,7.42535E-02
-9.67720e-04,7.42535E-02
-9.67680e-04,7.42820E-02
-9.67640e-04,7.42535E-02
-9.67600e-04,7.43462E-02
-9.67560e-04,7.44103E-02
-9.67520e-04,7.43747E-02
-9.67480e-04,7.43747E-02
-9.67440e-04,7.44388E-02
-9.67400e-04,7.44388E-02
-9.67360e-04,7.44103E-02
-9.67320e-04,7.45030E-02
-9.67280e-04,7.45030E-02
-9.67240e-04,7.45671E-02
-9.67200e-04,7.46313E-02
-9.67160e-04,7.46598E-02
