[s],MA1[],CH1[V],CH2[V]
-0.00098508,0.10794400000000001,,
-0.00098504,0.10800799999999999,,
-0.000985,0.10806400000000001,,
-0.00098496,0.108128,,
-0.00098492,0.10825599999999999,,
-0.00098488,0.10828800000000001,,
-0.00098484,0.10832,,
-0.0009848,0.10834400000000001,,
-0.00098476,0.108472,,
-0.00098472,0.108536,,
-0.00098468,0.1086,,
-0.00098464,0.10863199999999999,,
-0.0009846,0.10866400000000001,,
-0.00098456,0.10866400000000001,,
-0.00098452,0.1086,,
-0.00098448,0.10866400000000001,,
-0.00098444,0.10872000000000001,,
-0.0009844,0.10872000000000001,,
-0.00098436,0.10872000000000001,,
-0.00098432,0.10887999999999999,,
-0.00098428,0.108976,,
-0.00098424,0.109,,
-0.0009842,0.10906400000000001,,
-0.00098416,0.10903199999999999,,
-0.00098412,0.109096,,
-0.00098408,0.109225,,
-0.00098404,0.10919300000000001,,
-0.000984,0.109321,,
-0.00098396,0.109321,,
-0.00098392,0.109377,,
-0.00098388,0.10944100000000001,,
-0.00098384,0.109345,,
-0.0009838,0.10944100000000001,,
-0.00098376,0.109377,,
-0.00098372,0.10940899999999999,,
-0.00098368,0.109377,,
-0.00098364,0.109473,,
-0.0009836,0.109537,,
-0.00098356,0.109601,,
-0.00098352,0.10965699999999999,,
-0.00098348,0.10968900000000001,,
-0.00098344,0.109785,,
-0.0009834,0.10988099999999999,,
-0.00098336,0.10991300000000001,,
-0.00098332,0.109945,,
-0.00098328,0.109945,,
-0.00098324,0.109945,,
-0.0009832,0.110001,,
-0.00098316,0.110001,,
-0.00098312,0.11003299999999999,,
-0.00098308,0.110097,,
-0.00098304,0.11012899999999999,,
-0.000983,0.110161,,
-0.00098296,0.110225,,
-0.00098292,0.110225,,
-0.00098288,0.110225,,
-0.00098284,0.110257,,
-0.0009828,0.110345,,
-0.00098276,0.110377,,
-0.00098272,0.110377,,
-0.00098268,0.110409,,
-0.00098264,0.11044100000000001,,
-0.0009826,0.11050499999999999,,
-0.00098256,0.11053699999999998,,
-0.00098252,0.110601,,
-0.00098248,0.110601,,
-0.00098244,0.11065699999999999,,
-0.0009824,0.11075299999999999,,
-0.00098236,0.11081700000000001,,
-0.00098232,0.11081700000000001,,
-0.00098228,0.11091300000000001,,
-0.00098224,0.110881,,
-0.0009822,0.110881,,
-0.00098216,0.11091300000000001,,
-0.00098212,0.11096900000000001,,
-0.00098208,0.11096900000000001,,
-0.00098204,0.11096900000000001,,
-0.000982,0.11103299999999999,,
-0.00098196,0.111097,,
-0.00098192,0.111097,,
-0.00098188,0.111161,,
-0.00098184,0.111193,,
-0.0009818,0.111345,,
-0.00098176,0.11150499999999999,,
-0.00098172,0.11153699999999998,,
-0.00098168,0.111722,,
-0.00098164,0.111626,,
-0.0009816,0.11175399999999999,,
-0.00098156,0.111658,,
-0.00098152,0.11175399999999999,,
-0.00098148,0.111818,,
-0.00098144,0.11191400000000001,,
-0.0009814,0.11185,,
-0.00098136,0.111946,,
-0.00098132,0.111946,,
-0.00098128,0.111946,,
-0.00098124,0.11197,,
-0.0009812,0.111946,,
-0.00098116,0.112002,,
-0.00098112,0.112002,,
-0.00098108,0.11213,,
-0.00098104,0.112194,,
-0.000981,0.11222599999999999,,
-0.00098096,0.11228199999999999,,
-0.00098092,0.112346,,
-0.00098088,0.11241,,
-0.00098084,0.112474,,
-0.0009808,0.112602,,
-0.00098076,0.11269000000000001,,
-0.00098072,0.112754,,
-0.00098068,0.11285,,
-0.00098064,0.11293800000000001,,
-0.0009806,0.112882,,
-0.00098056,0.11291400000000001,,
-0.00098052,0.11293800000000001,,
-0.00098048,0.11297,,
-0.00098044,0.11300199999999999,,
-0.0009804,0.11306600000000001,,
-0.00098036,0.113098,,
-0.00098032,0.11313,,
-0.00098028,0.113226,,
-0.00098024,0.11325,,
-0.0009802,0.11325,,
-0.00098016,0.113346,,
-0.00098012,0.11341,,
-0.00098008,0.11353800000000001,,
-0.00098004,0.113658,,
-0.00098,0.11369000000000001,,
-0.00097996,0.113722,,
-0.00097992,0.113754,,
-0.00097988,0.11385,,
-0.00097984,0.113906,,
-0.0009798,0.11393800000000001,,
-0.00097976,0.114035,,
-0.00097972,0.114067,,
-0.00097968,0.114067,,
-0.00097964,0.114099,,
-0.0009796,0.11416300000000001,,
-0.00097956,0.11416300000000001,,
-0.00097952,0.114227,,
-0.00097948,0.114227,,
-0.00097944,0.114283,,
-0.0009794,0.11431500000000001,,
-0.00097936,0.11431500000000001,,
-0.00097932,0.114347,,
-0.00097928,0.114475,,
-0.00097924,0.11462699999999999,,
-0.0009792,0.114659,,
-0.00097916,0.114723,,
-0.00097912,0.11478699999999999,,
-0.00097908,0.114907,,
-0.00097904,0.11493900000000001,,
-0.000979,0.115003,,
-0.00097896,0.115067,,
-0.00097892,0.115131,,
-0.00097888,0.11516300000000002,,
-0.00097884,0.115219,,
-0.0009788,0.11525099999999999,,
-0.00097876,0.11525099999999999,,
-0.00097872,0.11525099999999999,,
-0.00097868,0.115219,,
-0.00097864,0.11525099999999999,,
-0.0009786,0.11531500000000001,,
-0.00097856,0.115347,,
-0.00097852,0.115443,,
-0.00097848,0.115595,,
-0.00097844,0.115659,,
-0.0009784,0.115659,,
-0.00097836,0.115723,,
-0.00097832,0.115819,,
-0.00097828,0.115875,,
-0.00097824,0.115971,,
-0.0009782,0.11603499999999999,,
-0.00097816,0.11609900000000001,,
-0.00097812,0.116195,,
-0.00097808,0.116219,,
-0.00097804,0.11631500000000002,,
-0.000978,0.116347,,
-0.00097796,0.116379,,
-0.00097792,0.116476,,
-0.00097788,0.116476,,
-0.00097784,0.11650799999999999,,
-0.0009778,0.11665999999999999,,
-0.00097776,0.116724,,
-0.00097772,0.11682000000000001,,
-0.00097768,0.116852,,
-0.00097764,0.117004,,
-0.0009776,0.1171,,
-0.00097756,0.117164,,
-0.00097752,0.117252,,
-0.00097748,0.117316,,
-0.00097744,0.11734800000000001,,
-0.0009774,0.11734800000000001,,
-0.00097736,0.11738,,
-0.00097732,0.117444,,
-0.00097728,0.11756400000000002,,
-0.00097724,0.117628,,
-0.0009772,0.117692,,
-0.00097716,0.117724,,
-0.00097712,0.11782000000000001,,
-0.00097708,0.117876,,
-0.00097704,0.117908,,
-0.000977,0.11794,,
-0.00097696,0.118004,,
-0.00097692,0.118068,,
-0.00097688,0.11813199999999999,,
-0.00097684,0.11818800000000002,,
-0.0009768,0.11828399999999999,,
-0.00097676,0.118252,,
-0.00097672,0.11834800000000001,,
-0.00097668,0.118476,,
-0.00097664,0.11844400000000001,,
-0.0009766,0.118532,,
-0.00097656,0.11859600000000001,,
-0.00097652,0.118692,,
-0.00097648,0.118756,,
-0.00097644,0.118845,,
-0.0009764,0.118973,,
-0.00097636,0.119005,,
-0.00097632,0.11903699999999999,,
-0.00097628,0.11906900000000001,,
-0.00097624,0.119101,,
-0.0009762,0.119101,,
-0.00097616,0.119101,,
-0.00097612,0.119157,,
-0.00097608,0.11922100000000001,,
-0.00097604,0.11928499999999999,,
-0.000976,0.119381,,
-0.00097596,0.119413,,
-0.00097592,0.119501,,
-0.00097588,0.11953299999999999,,
-0.00097584,0.119629,,
-0.0009758,0.11966099999999999,,
-0.00097576,0.11966099999999999,,
-0.00097572,0.11975699999999999,,
-0.00097568,0.11984500000000001,,
-0.00097564,0.11981300000000002,,
-0.0009756,0.119941,,
-0.00097556,0.119941,,
-0.00097552,0.12003699999999999,,
-0.00097548,0.12006900000000001,,
-0.00097544,0.120005,,
-0.0009754,0.120005,,
-0.00097536,0.120101,,
-0.00097532,0.12013299999999999,,
-0.00097528,0.120157,,
-0.00097524,0.12028499999999999,,
-0.0009752,0.12038099999999999,,
-0.00097516,0.120469,,
-0.00097512,0.12053299999999999,,
-0.00097508,0.12066099999999999,,
-0.00097504,0.120597,,
-0.000975,0.12066099999999999,,
-0.00097496,0.120725,,
-0.00097492,0.12084500000000001,,
-0.00097488,0.12090899999999999,,
-0.00097484,0.121005,,
