#time	V(in1)	V(in2)	I(R3)
1.893143379673047e-03	9.713917e-01	9.718316e-01	-4.398839e-07
1.915016905323605e-03	7.725548e-01	7.730103e-01	-4.555094e-07
1.936890430974163e-03	5.737203e-01	5.741935e-01	-4.731685e-07
1.945260966688448e-03	4.976279e-01	4.981087e-01	-4.808320e-07
1.953631502402733e-03	4.215430e-01	4.220334e-01	-4.904573e-07
1.962002038117018e-03	3.454656e-01	3.459676e-01	-5.020444e-07
1.970372573831303e-03	2.693957e-01	2.699113e-01	-5.155934e-07
1.978743109545588e-03	1.933333e-01	1.938644e-01	-5.311042e-07
1.987113645259873e-03	1.172784e-01	1.178270e-01	-5.485769e-07
1.995484180974158e-03	4.123101e-02	4.179902e-02	-5.680114e-07
1.998780861948314e-03	1.129333e-02	1.187085e-02	-5.775153e-07
2.000000000000000e-03	2.236962e-04	8.049443e-04	-5.812481e-07
